,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],20,165,15,0.8918918918918919,0.9166666666666666,0.9041095890410958,0,dacy_medium,No augmentation,0
0,['PER'],27,165,15,0.859375,0.9166666666666666,0.8870967741935484,0,dacy_medium,Danish names,1
0,['PER'],24,174,6,0.8787878787878788,0.9666666666666667,0.9206349206349207,1,dacy_medium,Danish names,1
0,['PER'],22,171,9,0.8860103626943006,0.95,0.9168900804289545,2,dacy_medium,Danish names,1
0,['PER'],26,173,7,0.8693467336683417,0.9611111111111111,0.9129287598944591,3,dacy_medium,Danish names,1
0,['PER'],24,170,10,0.8762886597938144,0.9444444444444444,0.9090909090909091,4,dacy_medium,Danish names,1
0,['PER'],25,166,14,0.8691099476439791,0.9222222222222223,0.8948787061994611,5,dacy_medium,Danish names,1
0,['PER'],23,172,8,0.882051282051282,0.9555555555555556,0.9173333333333333,6,dacy_medium,Danish names,1
0,['PER'],24,169,11,0.8756476683937824,0.9388888888888889,0.9061662198391421,7,dacy_medium,Danish names,1
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,8,dacy_medium,Danish names,1
0,['PER'],22,174,6,0.8877551020408163,0.9666666666666667,0.9255319148936171,9,dacy_medium,Danish names,1
0,['PER'],20,174,6,0.8969072164948454,0.9666666666666667,0.93048128342246,10,dacy_medium,Danish names,1
0,['PER'],27,170,10,0.8629441624365483,0.9444444444444444,0.9018567639257294,11,dacy_medium,Danish names,1
0,['PER'],23,168,12,0.8795811518324608,0.9333333333333333,0.9056603773584906,12,dacy_medium,Danish names,1
0,['PER'],22,174,6,0.8877551020408163,0.9666666666666667,0.9255319148936171,13,dacy_medium,Danish names,1
0,['PER'],22,170,10,0.8854166666666666,0.9444444444444444,0.9139784946236558,14,dacy_medium,Danish names,1
0,['PER'],23,167,13,0.8789473684210526,0.9277777777777778,0.9027027027027026,15,dacy_medium,Danish names,1
0,['PER'],21,168,12,0.8888888888888888,0.9333333333333333,0.9105691056910569,16,dacy_medium,Danish names,1
0,['PER'],25,169,11,0.8711340206185567,0.9388888888888889,0.9037433155080213,17,dacy_medium,Danish names,1
0,['PER'],21,167,13,0.8882978723404256,0.9277777777777778,0.907608695652174,18,dacy_medium,Danish names,1
0,['PER'],23,166,14,0.8783068783068783,0.9222222222222223,0.8997289972899728,19,dacy_medium,Danish names,1
0,['PER'],27,152,28,0.8491620111731844,0.8444444444444444,0.8467966573816156,0,dacy_medium,Muslim names,2
0,['PER'],26,156,24,0.8571428571428571,0.8666666666666667,0.861878453038674,1,dacy_medium,Muslim names,2
0,['PER'],20,158,22,0.8876404494382022,0.8777777777777778,0.88268156424581,2,dacy_medium,Muslim names,2
0,['PER'],23,156,24,0.8715083798882681,0.8666666666666667,0.8690807799442897,3,dacy_medium,Muslim names,2
0,['PER'],25,157,23,0.8626373626373627,0.8722222222222222,0.8674033149171271,4,dacy_medium,Muslim names,2
0,['PER'],31,141,39,0.8197674418604651,0.7833333333333333,0.8011363636363636,5,dacy_medium,Muslim names,2
0,['PER'],30,154,26,0.8369565217391305,0.8555555555555555,0.8461538461538461,6,dacy_medium,Muslim names,2
0,['PER'],31,150,30,0.8287292817679558,0.8333333333333334,0.8310249307479224,7,dacy_medium,Muslim names,2
0,['PER'],26,156,24,0.8571428571428571,0.8666666666666667,0.861878453038674,8,dacy_medium,Muslim names,2
0,['PER'],21,150,30,0.8771929824561403,0.8333333333333334,0.8547008547008548,9,dacy_medium,Muslim names,2
0,['PER'],26,152,28,0.8539325842696629,0.8444444444444444,0.8491620111731844,10,dacy_medium,Muslim names,2
0,['PER'],28,152,28,0.8444444444444444,0.8444444444444444,0.8444444444444444,11,dacy_medium,Muslim names,2
0,['PER'],23,153,27,0.8693181818181818,0.85,0.8595505617977528,12,dacy_medium,Muslim names,2
0,['PER'],24,151,29,0.8628571428571429,0.8388888888888889,0.8507042253521127,13,dacy_medium,Muslim names,2
0,['PER'],29,151,29,0.8388888888888889,0.8388888888888889,0.8388888888888889,14,dacy_medium,Muslim names,2
0,['PER'],22,151,29,0.8728323699421965,0.8388888888888889,0.8555240793201134,15,dacy_medium,Muslim names,2
0,['PER'],27,151,29,0.848314606741573,0.8388888888888889,0.8435754189944135,16,dacy_medium,Muslim names,2
0,['PER'],24,161,19,0.8702702702702703,0.8944444444444445,0.8821917808219178,17,dacy_medium,Muslim names,2
0,['PER'],27,164,16,0.8586387434554974,0.9111111111111111,0.8840970350404311,18,dacy_medium,Muslim names,2
0,['PER'],29,152,28,0.8397790055248618,0.8444444444444444,0.8421052631578947,19,dacy_medium,Muslim names,2
0,['PER'],23,172,8,0.882051282051282,0.9555555555555556,0.9173333333333333,0,dacy_medium,Female names,3
0,['PER'],23,173,7,0.8826530612244898,0.9611111111111111,0.9202127659574467,1,dacy_medium,Female names,3
0,['PER'],22,172,8,0.8865979381443299,0.9555555555555556,0.9197860962566844,2,dacy_medium,Female names,3
0,['PER'],22,172,8,0.8865979381443299,0.9555555555555556,0.9197860962566844,3,dacy_medium,Female names,3
0,['PER'],24,166,14,0.8736842105263158,0.9222222222222223,0.8972972972972973,4,dacy_medium,Female names,3
0,['PER'],25,167,13,0.8697916666666666,0.9277777777777778,0.8978494623655914,5,dacy_medium,Female names,3
0,['PER'],21,173,7,0.8917525773195877,0.9611111111111111,0.9251336898395722,6,dacy_medium,Female names,3
0,['PER'],25,170,10,0.8717948717948718,0.9444444444444444,0.9066666666666667,7,dacy_medium,Female names,3
0,['PER'],22,170,10,0.8854166666666666,0.9444444444444444,0.9139784946236558,8,dacy_medium,Female names,3
0,['PER'],21,171,9,0.890625,0.95,0.9193548387096774,9,dacy_medium,Female names,3
0,['PER'],21,173,7,0.8917525773195877,0.9611111111111111,0.9251336898395722,10,dacy_medium,Female names,3
0,['PER'],23,173,7,0.8826530612244898,0.9611111111111111,0.9202127659574467,11,dacy_medium,Female names,3
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,12,dacy_medium,Female names,3
0,['PER'],24,173,7,0.8781725888324873,0.9611111111111111,0.9177718832891246,13,dacy_medium,Female names,3
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,14,dacy_medium,Female names,3
0,['PER'],20,173,7,0.8963730569948186,0.9611111111111111,0.9276139410187667,15,dacy_medium,Female names,3
0,['PER'],25,172,8,0.8730964467005076,0.9555555555555556,0.9124668435013261,16,dacy_medium,Female names,3
0,['PER'],27,166,14,0.8601036269430051,0.9222222222222223,0.8900804289544235,17,dacy_medium,Female names,3
0,['PER'],26,171,9,0.868020304568528,0.95,0.9071618037135278,18,dacy_medium,Female names,3
0,['PER'],26,170,10,0.8673469387755102,0.9444444444444444,0.9042553191489361,19,dacy_medium,Female names,3
0,['PER'],22,171,9,0.8860103626943006,0.95,0.9168900804289545,0,dacy_medium,Male names,4
0,['PER'],31,168,12,0.8442211055276382,0.9333333333333333,0.8865435356200528,1,dacy_medium,Male names,4
0,['PER'],25,170,10,0.8717948717948718,0.9444444444444444,0.9066666666666667,2,dacy_medium,Male names,4
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,3,dacy_medium,Male names,4
0,['PER'],24,173,7,0.8781725888324873,0.9611111111111111,0.9177718832891246,4,dacy_medium,Male names,4
0,['PER'],22,173,7,0.8871794871794871,0.9611111111111111,0.9226666666666666,5,dacy_medium,Male names,4
0,['PER'],27,170,10,0.8629441624365483,0.9444444444444444,0.9018567639257294,6,dacy_medium,Male names,4
0,['PER'],25,168,12,0.8704663212435233,0.9333333333333333,0.9008042895442359,7,dacy_medium,Male names,4
0,['PER'],22,171,9,0.8860103626943006,0.95,0.9168900804289545,8,dacy_medium,Male names,4
0,['PER'],23,174,6,0.883248730964467,0.9666666666666667,0.9230769230769231,9,dacy_medium,Male names,4
0,['PER'],22,175,5,0.8883248730964467,0.9722222222222222,0.9283819628647215,10,dacy_medium,Male names,4
0,['PER'],22,174,6,0.8877551020408163,0.9666666666666667,0.9255319148936171,11,dacy_medium,Male names,4
0,['PER'],27,170,10,0.8629441624365483,0.9444444444444444,0.9018567639257294,12,dacy_medium,Male names,4
0,['PER'],21,177,3,0.8939393939393939,0.9833333333333333,0.9365079365079364,13,dacy_medium,Male names,4
0,['PER'],23,169,11,0.8802083333333334,0.9388888888888889,0.9086021505376345,14,dacy_medium,Male names,4
0,['PER'],23,167,13,0.8789473684210526,0.9277777777777778,0.9027027027027026,15,dacy_medium,Male names,4
0,['PER'],23,170,10,0.8808290155440415,0.9444444444444444,0.9115281501340482,16,dacy_medium,Male names,4
0,['PER'],21,171,9,0.890625,0.95,0.9193548387096774,17,dacy_medium,Male names,4
0,['PER'],21,173,7,0.8917525773195877,0.9611111111111111,0.9251336898395722,18,dacy_medium,Male names,4
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,19,dacy_medium,Male names,4
0,['PER'],22,158,22,0.8777777777777778,0.8777777777777778,0.8777777777777779,0,dacy_medium,Muslim female names,5
0,['PER'],26,160,20,0.8602150537634409,0.8888888888888888,0.8743169398907102,1,dacy_medium,Muslim female names,5
0,['PER'],27,151,29,0.848314606741573,0.8388888888888889,0.8435754189944135,2,dacy_medium,Muslim female names,5
0,['PER'],25,160,20,0.8648648648648649,0.8888888888888888,0.8767123287671232,3,dacy_medium,Muslim female names,5
0,['PER'],20,153,27,0.884393063583815,0.85,0.8668555240793201,4,dacy_medium,Muslim female names,5
0,['PER'],23,165,15,0.8776595744680851,0.9166666666666666,0.8967391304347826,5,dacy_medium,Muslim female names,5
0,['PER'],25,154,26,0.8603351955307262,0.8555555555555555,0.8579387186629526,6,dacy_medium,Muslim female names,5
0,['PER'],25,153,27,0.8595505617977528,0.85,0.8547486033519552,7,dacy_medium,Muslim female names,5
