,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],24,167,13,0.8743455497382199,0.9277777777777778,0.9002695417789757,0,dacy_small,No augmentation,0
0,['PER'],32,163,17,0.8358974358974359,0.9055555555555556,0.8693333333333333,0,dacy_small,Danish names,1
0,['PER'],26,166,14,0.8645833333333334,0.9222222222222223,0.89247311827957,1,dacy_small,Danish names,1
0,['PER'],30,164,16,0.845360824742268,0.9111111111111111,0.8770053475935828,2,dacy_small,Danish names,1
0,['PER'],34,159,21,0.8238341968911918,0.8833333333333333,0.8525469168900803,3,dacy_small,Danish names,1
0,['PER'],34,158,22,0.8229166666666666,0.8777777777777778,0.8494623655913979,4,dacy_small,Danish names,1
0,['PER'],32,165,15,0.8375634517766497,0.9166666666666666,0.8753315649867374,5,dacy_small,Danish names,1
0,['PER'],25,168,12,0.8704663212435233,0.9333333333333333,0.9008042895442359,6,dacy_small,Danish names,1
0,['PER'],24,167,13,0.8743455497382199,0.9277777777777778,0.9002695417789757,7,dacy_small,Danish names,1
0,['PER'],29,161,19,0.8473684210526315,0.8944444444444445,0.8702702702702702,8,dacy_small,Danish names,1
0,['PER'],25,164,16,0.8677248677248677,0.9111111111111111,0.8888888888888887,9,dacy_small,Danish names,1
0,['PER'],34,162,18,0.826530612244898,0.9,0.8617021276595744,10,dacy_small,Danish names,1
0,['PER'],29,169,11,0.8535353535353535,0.9388888888888889,0.8941798941798941,11,dacy_small,Danish names,1
0,['PER'],25,164,16,0.8677248677248677,0.9111111111111111,0.8888888888888887,12,dacy_small,Danish names,1
0,['PER'],25,167,13,0.8697916666666666,0.9277777777777778,0.8978494623655914,13,dacy_small,Danish names,1
0,['PER'],25,165,15,0.868421052631579,0.9166666666666666,0.8918918918918918,14,dacy_small,Danish names,1
0,['PER'],25,165,15,0.868421052631579,0.9166666666666666,0.8918918918918918,15,dacy_small,Danish names,1
0,['PER'],26,166,14,0.8645833333333334,0.9222222222222223,0.89247311827957,16,dacy_small,Danish names,1
0,['PER'],27,158,22,0.8540540540540541,0.8777777777777778,0.8657534246575342,17,dacy_small,Danish names,1
0,['PER'],28,163,17,0.8534031413612565,0.9055555555555556,0.8787061994609163,18,dacy_small,Danish names,1
0,['PER'],26,162,18,0.8617021276595744,0.9,0.8804347826086957,19,dacy_small,Danish names,1
0,['PER'],25,155,25,0.8611111111111112,0.8611111111111112,0.8611111111111112,0,dacy_small,Muslim names,2
0,['PER'],30,150,30,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,dacy_small,Muslim names,2
0,['PER'],29,150,30,0.8379888268156425,0.8333333333333334,0.8356545961002785,2,dacy_small,Muslim names,2
0,['PER'],41,147,33,0.7819148936170213,0.8166666666666667,0.7989130434782609,3,dacy_small,Muslim names,2
0,['PER'],26,153,27,0.8547486033519553,0.85,0.852367688022284,4,dacy_small,Muslim names,2
0,['PER'],29,151,29,0.8388888888888889,0.8388888888888889,0.8388888888888889,5,dacy_small,Muslim names,2
0,['PER'],27,156,24,0.8524590163934426,0.8666666666666667,0.8595041322314049,6,dacy_small,Muslim names,2
0,['PER'],30,151,29,0.8342541436464088,0.8388888888888889,0.8365650969529086,7,dacy_small,Muslim names,2
0,['PER'],28,162,18,0.8526315789473684,0.9,0.8756756756756757,8,dacy_small,Muslim names,2
0,['PER'],30,151,29,0.8342541436464088,0.8388888888888889,0.8365650969529086,9,dacy_small,Muslim names,2
0,['PER'],31,151,29,0.8296703296703297,0.8388888888888889,0.8342541436464089,10,dacy_small,Muslim names,2
0,['PER'],33,151,29,0.8206521739130435,0.8388888888888889,0.8296703296703296,11,dacy_small,Muslim names,2
0,['PER'],26,155,25,0.856353591160221,0.8611111111111112,0.8587257617728532,12,dacy_small,Muslim names,2
0,['PER'],35,153,27,0.8138297872340425,0.85,0.8315217391304347,13,dacy_small,Muslim names,2
0,['PER'],32,147,33,0.8212290502793296,0.8166666666666667,0.8189415041782729,14,dacy_small,Muslim names,2
0,['PER'],27,151,29,0.848314606741573,0.8388888888888889,0.8435754189944135,15,dacy_small,Muslim names,2
0,['PER'],28,147,33,0.84,0.8166666666666667,0.8281690140845069,16,dacy_small,Muslim names,2
0,['PER'],36,142,38,0.797752808988764,0.7888888888888889,0.7932960893854749,17,dacy_small,Muslim names,2
0,['PER'],29,162,18,0.8481675392670157,0.9,0.8733153638814016,18,dacy_small,Muslim names,2
0,['PER'],26,150,30,0.8522727272727273,0.8333333333333334,0.8426966292134833,19,dacy_small,Muslim names,2
0,['PER'],28,165,15,0.8549222797927462,0.9166666666666666,0.8847184986595175,0,dacy_small,Female names,3
