,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],20,164,16,0.8913043478260869,0.9111111111111111,0.9010989010989011,0,danlp,No augmentation,0
0,['PER'],17,177,3,0.9123711340206185,0.9833333333333333,0.946524064171123,0,danlp,Danish names,1
0,['PER'],22,173,7,0.8871794871794871,0.9611111111111111,0.9226666666666666,1,danlp,Danish names,1
0,['PER'],22,176,4,0.8888888888888888,0.9777777777777777,0.931216931216931,2,danlp,Danish names,1
0,['PER'],23,173,7,0.8826530612244898,0.9611111111111111,0.9202127659574467,3,danlp,Danish names,1
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,4,danlp,Danish names,1
0,['PER'],21,177,3,0.8939393939393939,0.9833333333333333,0.9365079365079364,5,danlp,Danish names,1
0,['PER'],22,175,5,0.8883248730964467,0.9722222222222222,0.9283819628647215,6,danlp,Danish names,1
0,['PER'],20,179,1,0.8994974874371859,0.9944444444444445,0.9445910290237467,7,danlp,Danish names,1
0,['PER'],22,172,8,0.8865979381443299,0.9555555555555556,0.9197860962566844,8,danlp,Danish names,1
0,['PER'],24,172,8,0.8775510204081632,0.9555555555555556,0.9148936170212767,9,danlp,Danish names,1
0,['PER'],21,174,6,0.8923076923076924,0.9666666666666667,0.928,10,danlp,Danish names,1
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,11,danlp,Danish names,1
0,['PER'],22,173,7,0.8871794871794871,0.9611111111111111,0.9226666666666666,12,danlp,Danish names,1
0,['PER'],22,176,4,0.8888888888888888,0.9777777777777777,0.931216931216931,13,danlp,Danish names,1
0,['PER'],20,174,6,0.8969072164948454,0.9666666666666667,0.93048128342246,14,danlp,Danish names,1
0,['PER'],24,173,7,0.8781725888324873,0.9611111111111111,0.9177718832891246,15,danlp,Danish names,1
0,['PER'],20,174,6,0.8969072164948454,0.9666666666666667,0.93048128342246,16,danlp,Danish names,1
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,17,danlp,Danish names,1
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,18,danlp,Danish names,1
0,['PER'],26,171,9,0.868020304568528,0.95,0.9071618037135278,19,danlp,Danish names,1
0,['PER'],27,163,17,0.8578947368421053,0.9055555555555556,0.8810810810810811,0,danlp,Muslim names,2
0,['PER'],23,165,15,0.8776595744680851,0.9166666666666666,0.8967391304347826,1,danlp,Muslim names,2
0,['PER'],26,160,20,0.8602150537634409,0.8888888888888888,0.8743169398907102,2,danlp,Muslim names,2
0,['PER'],30,160,20,0.8421052631578947,0.8888888888888888,0.8648648648648649,3,danlp,Muslim names,2
0,['PER'],27,163,17,0.8578947368421053,0.9055555555555556,0.8810810810810811,4,danlp,Muslim names,2
0,['PER'],31,161,19,0.8385416666666666,0.8944444444444445,0.8655913978494624,5,danlp,Muslim names,2
0,['PER'],22,162,18,0.8804347826086957,0.9,0.8901098901098902,6,danlp,Muslim names,2
0,['PER'],24,159,21,0.8688524590163934,0.8833333333333333,0.8760330578512396,7,danlp,Muslim names,2
0,['PER'],24,165,15,0.873015873015873,0.9166666666666666,0.894308943089431,8,danlp,Muslim names,2
0,['PER'],28,156,24,0.8478260869565217,0.8666666666666667,0.8571428571428571,9,danlp,Muslim names,2
0,['PER'],29,164,16,0.8497409326424871,0.9111111111111111,0.8793565683646112,10,danlp,Muslim names,2
0,['PER'],23,161,19,0.875,0.8944444444444445,0.8846153846153847,11,danlp,Muslim names,2
0,['PER'],25,165,15,0.868421052631579,0.9166666666666666,0.8918918918918918,12,danlp,Muslim names,2
0,['PER'],29,161,19,0.8473684210526315,0.8944444444444445,0.8702702702702702,13,danlp,Muslim names,2
0,['PER'],23,162,18,0.8756756756756757,0.9,0.8876712328767123,14,danlp,Muslim names,2
0,['PER'],24,166,14,0.8736842105263158,0.9222222222222223,0.8972972972972973,15,danlp,Muslim names,2
0,['PER'],24,162,18,0.8709677419354839,0.9,0.8852459016393444,16,danlp,Muslim names,2
0,['PER'],26,163,17,0.8624338624338624,0.9055555555555556,0.8834688346883468,17,danlp,Muslim names,2
0,['PER'],27,160,20,0.8556149732620321,0.8888888888888888,0.8719346049046323,18,danlp,Muslim names,2
0,['PER'],25,167,13,0.8697916666666666,0.9277777777777778,0.8978494623655914,19,danlp,Muslim names,2
0,['PER'],20,177,3,0.8984771573604061,0.9833333333333333,0.9389920424403183,0,danlp,Female names,3
0,['PER'],23,172,8,0.882051282051282,0.9555555555555556,0.9173333333333333,1,danlp,Female names,3
0,['PER'],20,171,9,0.8952879581151832,0.95,0.921832884097035,2,danlp,Female names,3
0,['PER'],24,175,5,0.8793969849246231,0.9722222222222222,0.9234828496042217,3,danlp,Female names,3
0,['PER'],21,174,6,0.8923076923076924,0.9666666666666667,0.928,4,danlp,Female names,3
0,['PER'],25,172,8,0.8730964467005076,0.9555555555555556,0.9124668435013261,5,danlp,Female names,3
0,['PER'],21,176,4,0.8934010152284264,0.9777777777777777,0.9336870026525198,6,danlp,Female names,3
0,['PER'],19,175,5,0.9020618556701031,0.9722222222222222,0.9358288770053476,7,danlp,Female names,3
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,8,danlp,Female names,3
0,['PER'],22,176,4,0.8888888888888888,0.9777777777777777,0.931216931216931,9,danlp,Female names,3
0,['PER'],21,176,4,0.8934010152284264,0.9777777777777777,0.9336870026525198,10,danlp,Female names,3
0,['PER'],20,173,7,0.8963730569948186,0.9611111111111111,0.9276139410187667,11,danlp,Female names,3
0,['PER'],21,175,5,0.8928571428571429,0.9722222222222222,0.9308510638297872,12,danlp,Female names,3
0,['PER'],21,173,7,0.8917525773195877,0.9611111111111111,0.9251336898395722,13,danlp,Female names,3
0,['PER'],21,173,7,0.8917525773195877,0.9611111111111111,0.9251336898395722,14,danlp,Female names,3
0,['PER'],21,174,6,0.8923076923076924,0.9666666666666667,0.928,15,danlp,Female names,3
0,['PER'],22,176,4,0.8888888888888888,0.9777777777777777,0.931216931216931,16,danlp,Female names,3
0,['PER'],24,175,5,0.8793969849246231,0.9722222222222222,0.9234828496042217,17,danlp,Female names,3
