,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],30,155,25,0.8378378378378378,0.8611111111111112,0.8493150684931507,0,spacy_medium,No augmentation,0
0,['PER'],33,169,11,0.8366336633663366,0.9388888888888889,0.8848167539267016,0,spacy_medium,Danish names,1
0,['PER'],31,165,15,0.8418367346938775,0.9166666666666666,0.8776595744680852,1,spacy_medium,Danish names,1
0,['PER'],31,168,12,0.8442211055276382,0.9333333333333333,0.8865435356200528,2,spacy_medium,Danish names,1
0,['PER'],29,172,8,0.8557213930348259,0.9555555555555556,0.9028871391076116,3,spacy_medium,Danish names,1
0,['PER'],30,170,10,0.85,0.9444444444444444,0.8947368421052632,4,spacy_medium,Danish names,1
0,['PER'],30,171,9,0.8507462686567164,0.95,0.8976377952755905,5,spacy_medium,Danish names,1
0,['PER'],32,170,10,0.8415841584158416,0.9444444444444444,0.8900523560209423,6,spacy_medium,Danish names,1
0,['PER'],31,170,10,0.845771144278607,0.9444444444444444,0.8923884514435695,7,spacy_medium,Danish names,1
0,['PER'],30,167,13,0.8477157360406091,0.9277777777777778,0.8859416445623343,8,spacy_medium,Danish names,1
0,['PER'],30,173,7,0.8522167487684729,0.9611111111111111,0.9033942558746736,9,spacy_medium,Danish names,1
0,['PER'],31,169,11,0.845,0.9388888888888889,0.8894736842105263,10,spacy_medium,Danish names,1
0,['PER'],26,171,9,0.868020304568528,0.95,0.9071618037135278,11,spacy_medium,Danish names,1
0,['PER'],29,169,11,0.8535353535353535,0.9388888888888889,0.8941798941798941,12,spacy_medium,Danish names,1
0,['PER'],30,166,14,0.8469387755102041,0.9222222222222223,0.8829787234042554,13,spacy_medium,Danish names,1
0,['PER'],30,164,16,0.845360824742268,0.9111111111111111,0.8770053475935828,14,spacy_medium,Danish names,1
0,['PER'],29,172,8,0.8557213930348259,0.9555555555555556,0.9028871391076116,15,spacy_medium,Danish names,1
0,['PER'],28,166,14,0.8556701030927835,0.9222222222222223,0.8877005347593583,16,spacy_medium,Danish names,1
0,['PER'],26,172,8,0.8686868686868687,0.9555555555555556,0.9100529100529101,17,spacy_medium,Danish names,1
0,['PER'],28,165,15,0.8549222797927462,0.9166666666666666,0.8847184986595175,18,spacy_medium,Danish names,1
0,['PER'],27,174,6,0.8656716417910447,0.9666666666666667,0.9133858267716535,19,spacy_medium,Danish names,1
0,['PER'],37,105,75,0.7394366197183099,0.5833333333333334,0.6521739130434783,0,spacy_medium,Muslim names,2
0,['PER'],36,113,67,0.7583892617449665,0.6277777777777778,0.6869300911854104,1,spacy_medium,Muslim names,2
0,['PER'],34,111,69,0.7655172413793103,0.6166666666666667,0.683076923076923,2,spacy_medium,Muslim names,2
0,['PER'],51,101,79,0.6644736842105263,0.5611111111111111,0.608433734939759,3,spacy_medium,Muslim names,2
0,['PER'],46,96,84,0.676056338028169,0.5333333333333333,0.5962732919254659,4,spacy_medium,Muslim names,2
0,['PER'],41,104,76,0.7172413793103448,0.5777777777777777,0.64,5,spacy_medium,Muslim names,2
0,['PER'],38,112,68,0.7466666666666667,0.6222222222222222,0.6787878787878788,6,spacy_medium,Muslim names,2
0,['PER'],45,102,78,0.6938775510204082,0.5666666666666667,0.6238532110091742,7,spacy_medium,Muslim names,2
0,['PER'],37,118,62,0.7612903225806451,0.6555555555555556,0.7044776119402986,8,spacy_medium,Muslim names,2
0,['PER'],42,98,82,0.7,0.5444444444444444,0.6124999999999999,9,spacy_medium,Muslim names,2
0,['PER'],35,109,71,0.7569444444444444,0.6055555555555555,0.6728395061728395,10,spacy_medium,Muslim names,2
0,['PER'],45,102,78,0.6938775510204082,0.5666666666666667,0.6238532110091742,11,spacy_medium,Muslim names,2
0,['PER'],39,106,74,0.7310344827586207,0.5888888888888889,0.6523076923076923,12,spacy_medium,Muslim names,2
0,['PER'],47,95,85,0.6690140845070423,0.5277777777777778,0.5900621118012422,13,spacy_medium,Muslim names,2
0,['PER'],35,113,67,0.7635135135135135,0.6277777777777778,0.6890243902439024,14,spacy_medium,Muslim names,2
0,['PER'],36,107,73,0.7482517482517482,0.5944444444444444,0.6625386996904025,15,spacy_medium,Muslim names,2
0,['PER'],50,96,84,0.6575342465753424,0.5333333333333333,0.588957055214724,16,spacy_medium,Muslim names,2
