,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],16,170,10,0.9139784946236559,0.9444444444444444,0.9289617486338798,0,dacy_large,No augmentation,0
0,['PER'],16,178,2,0.9175257731958762,0.9888888888888889,0.9518716577540107,0,dacy_large,Danish names,1
0,['PER'],17,178,2,0.9128205128205128,0.9888888888888889,0.9493333333333335,1,dacy_large,Danish names,1
0,['PER'],18,177,3,0.9076923076923077,0.9833333333333333,0.944,2,dacy_large,Danish names,1
0,['PER'],19,177,3,0.9030612244897959,0.9833333333333333,0.9414893617021276,3,dacy_large,Danish names,1
0,['PER'],16,177,3,0.917098445595855,0.9833333333333333,0.9490616621983914,4,dacy_large,Danish names,1
0,['PER'],18,174,6,0.90625,0.9666666666666667,0.9354838709677419,5,dacy_large,Danish names,1
0,['PER'],17,176,4,0.9119170984455959,0.9777777777777777,0.9436997319034852,6,dacy_large,Danish names,1
0,['PER'],17,176,4,0.9119170984455959,0.9777777777777777,0.9436997319034852,7,dacy_large,Danish names,1
0,['PER'],21,174,6,0.8923076923076924,0.9666666666666667,0.928,8,dacy_large,Danish names,1
0,['PER'],17,178,2,0.9128205128205128,0.9888888888888889,0.9493333333333335,9,dacy_large,Danish names,1
0,['PER'],17,178,2,0.9128205128205128,0.9888888888888889,0.9493333333333335,10,dacy_large,Danish names,1
0,['PER'],19,176,4,0.9025641025641026,0.9777777777777777,0.9386666666666666,11,dacy_large,Danish names,1
0,['PER'],18,177,3,0.9076923076923077,0.9833333333333333,0.944,12,dacy_large,Danish names,1
0,['PER'],16,179,1,0.9179487179487179,0.9944444444444445,0.9546666666666667,13,dacy_large,Danish names,1
0,['PER'],16,178,2,0.9175257731958762,0.9888888888888889,0.9518716577540107,14,dacy_large,Danish names,1
0,['PER'],18,177,3,0.9076923076923077,0.9833333333333333,0.944,15,dacy_large,Danish names,1
0,['PER'],17,178,2,0.9128205128205128,0.9888888888888889,0.9493333333333335,16,dacy_large,Danish names,1
0,['PER'],18,176,4,0.9072164948453608,0.9777777777777777,0.9411764705882353,17,dacy_large,Danish names,1
0,['PER'],16,178,2,0.9175257731958762,0.9888888888888889,0.9518716577540107,18,dacy_large,Danish names,1
0,['PER'],20,175,5,0.8974358974358975,0.9722222222222222,0.9333333333333333,19,dacy_large,Danish names,1
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,0,dacy_large,Muslim names,2
0,['PER'],17,174,6,0.9109947643979057,0.9666666666666667,0.9380053908355795,1,dacy_large,Muslim names,2
0,['PER'],16,176,4,0.9166666666666666,0.9777777777777777,0.946236559139785,2,dacy_large,Muslim names,2
0,['PER'],18,174,6,0.90625,0.9666666666666667,0.9354838709677419,3,dacy_large,Muslim names,2
0,['PER'],20,174,6,0.8969072164948454,0.9666666666666667,0.93048128342246,4,dacy_large,Muslim names,2
0,['PER'],17,174,6,0.9109947643979057,0.9666666666666667,0.9380053908355795,5,dacy_large,Muslim names,2
0,['PER'],17,176,4,0.9119170984455959,0.9777777777777777,0.9436997319034852,6,dacy_large,Muslim names,2
0,['PER'],17,174,6,0.9109947643979057,0.9666666666666667,0.9380053908355795,7,dacy_large,Muslim names,2
0,['PER'],18,176,4,0.9072164948453608,0.9777777777777777,0.9411764705882353,8,dacy_large,Muslim names,2
0,['PER'],20,175,5,0.8974358974358975,0.9722222222222222,0.9333333333333333,9,dacy_large,Muslim names,2
0,['PER'],17,177,3,0.9123711340206185,0.9833333333333333,0.946524064171123,10,dacy_large,Muslim names,2
