,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],16,169,11,0.9135135135135135,0.9388888888888889,0.9260273972602739,0,flair,No augmentation,0
0,['PER'],20,175,5,0.8974358974358975,0.9722222222222222,0.9333333333333333,0,flair,Danish names,1
0,['PER'],18,171,9,0.9047619047619048,0.95,0.9268292682926829,1,flair,Danish names,1
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,2,flair,Danish names,1
0,['PER'],17,174,6,0.9109947643979057,0.9666666666666667,0.9380053908355795,3,flair,Danish names,1
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,4,flair,Danish names,1
0,['PER'],19,173,7,0.9010416666666666,0.9611111111111111,0.9301075268817204,5,flair,Danish names,1
0,['PER'],17,173,7,0.9105263157894737,0.9611111111111111,0.9351351351351351,6,flair,Danish names,1
0,['PER'],19,174,6,0.9015544041450777,0.9666666666666667,0.932975871313673,7,flair,Danish names,1
0,['PER'],18,174,6,0.90625,0.9666666666666667,0.9354838709677419,8,flair,Danish names,1
0,['PER'],20,170,10,0.8947368421052632,0.9444444444444444,0.918918918918919,9,flair,Danish names,1
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,10,flair,Danish names,1
0,['PER'],19,172,8,0.900523560209424,0.9555555555555556,0.9272237196765499,11,flair,Danish names,1
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,12,flair,Danish names,1
0,['PER'],20,171,9,0.8952879581151832,0.95,0.921832884097035,13,flair,Danish names,1
0,['PER'],20,172,8,0.8958333333333334,0.9555555555555556,0.924731182795699,14,flair,Danish names,1
0,['PER'],19,170,10,0.8994708994708994,0.9444444444444444,0.9214092140921409,15,flair,Danish names,1
0,['PER'],21,172,8,0.8911917098445595,0.9555555555555556,0.9222520107238605,16,flair,Danish names,1
0,['PER'],17,175,5,0.9114583333333334,0.9722222222222222,0.9408602150537634,17,flair,Danish names,1
0,['PER'],18,172,8,0.9052631578947369,0.9555555555555556,0.9297297297297298,18,flair,Danish names,1
0,['PER'],20,175,5,0.8974358974358975,0.9722222222222222,0.9333333333333333,19,flair,Danish names,1
0,['PER'],19,155,25,0.8908045977011494,0.8611111111111112,0.8757062146892656,0,flair,Muslim names,2
0,['PER'],21,161,19,0.8846153846153846,0.8944444444444445,0.8895027624309393,1,flair,Muslim names,2
0,['PER'],19,166,14,0.8972972972972973,0.9222222222222223,0.9095890410958904,2,flair,Muslim names,2
0,['PER'],19,165,15,0.8967391304347826,0.9166666666666666,0.9065934065934065,3,flair,Muslim names,2
0,['PER'],17,164,16,0.9060773480662984,0.9111111111111111,0.9085872576177285,4,flair,Muslim names,2
0,['PER'],20,160,20,0.8888888888888888,0.8888888888888888,0.8888888888888888,5,flair,Muslim names,2
0,['PER'],20,162,18,0.8901098901098901,0.9,0.8950276243093923,6,flair,Muslim names,2
0,['PER'],18,165,15,0.9016393442622951,0.9166666666666666,0.9090909090909091,7,flair,Muslim names,2
0,['PER'],18,163,17,0.9005524861878453,0.9055555555555556,0.9030470914127424,8,flair,Muslim names,2
0,['PER'],18,164,16,0.9010989010989011,0.9111111111111111,0.9060773480662984,9,flair,Muslim names,2
0,['PER'],18,165,15,0.9016393442622951,0.9166666666666666,0.9090909090909091,10,flair,Muslim names,2
0,['PER'],16,161,19,0.9096045197740112,0.8944444444444445,0.9019607843137256,11,flair,Muslim names,2
0,['PER'],17,165,15,0.9065934065934066,0.9166666666666666,0.9116022099447513,12,flair,Muslim names,2
0,['PER'],19,161,19,0.8944444444444445,0.8944444444444445,0.8944444444444444,13,flair,Muslim names,2
0,['PER'],17,166,14,0.907103825136612,0.9222222222222223,0.9146005509641874,14,flair,Muslim names,2
0,['PER'],18,165,15,0.9016393442622951,0.9166666666666666,0.9090909090909091,15,flair,Muslim names,2
0,['PER'],24,158,22,0.8681318681318682,0.8777777777777778,0.8729281767955802,16,flair,Muslim names,2
0,['PER'],19,165,15,0.8967391304347826,0.9166666666666666,0.9065934065934065,17,flair,Muslim names,2
0,['PER'],20,159,21,0.888268156424581,0.8833333333333333,0.8857938718662953,18,flair,Muslim names,2
0,['PER'],17,165,15,0.9065934065934066,0.9166666666666666,0.9116022099447513,19,flair,Muslim names,2
0,['PER'],22,168,12,0.8842105263157894,0.9333333333333333,0.9081081081081082,0,flair,Female names,3
0,['PER'],20,168,12,0.8936170212765957,0.9333333333333333,0.9130434782608695,1,flair,Female names,3
0,['PER'],17,175,5,0.9114583333333334,0.9722222222222222,0.9408602150537634,2,flair,Female names,3
0,['PER'],19,169,11,0.898936170212766,0.9388888888888889,0.9184782608695653,3,flair,Female names,3
0,['PER'],19,172,8,0.900523560209424,0.9555555555555556,0.9272237196765499,4,flair,Female names,3
0,['PER'],20,171,9,0.8952879581151832,0.95,0.921832884097035,5,flair,Female names,3
0,['PER'],17,170,10,0.9090909090909091,0.9444444444444444,0.9264305177111717,6,flair,Female names,3
0,['PER'],19,173,7,0.9010416666666666,0.9611111111111111,0.9301075268817204,7,flair,Female names,3
0,['PER'],18,174,6,0.90625,0.9666666666666667,0.9354838709677419,8,flair,Female names,3
0,['PER'],20,164,16,0.8913043478260869,0.9111111111111111,0.9010989010989011,9,flair,Female names,3
0,['PER'],21,171,9,0.890625,0.95,0.9193548387096774,10,flair,Female names,3
0,['PER'],17,176,4,0.9119170984455959,0.9777777777777777,0.9436997319034852,11,flair,Female names,3
0,['PER'],21,170,10,0.8900523560209425,0.9444444444444444,0.9164420485175202,12,flair,Female names,3
0,['PER'],18,175,5,0.9067357512953368,0.9722222222222222,0.938337801608579,13,flair,Female names,3
0,['PER'],19,172,8,0.900523560209424,0.9555555555555556,0.9272237196765499,14,flair,Female names,3
0,['PER'],17,173,7,0.9105263157894737,0.9611111111111111,0.9351351351351351,15,flair,Female names,3
0,['PER'],22,171,9,0.8860103626943006,0.95,0.9168900804289545,16,flair,Female names,3
0,['PER'],16,174,6,0.9157894736842105,0.9666666666666667,0.9405405405405406,17,flair,Female names,3
0,['PER'],18,172,8,0.9052631578947369,0.9555555555555556,0.9297297297297298,18,flair,Female names,3
