Model,Metric,Majority all,Minority all,Majority Men,Minority Men,Majority Women,Minority Women,Unisex
ScandiNER,Precision,89.9 (0.3),89.0 (0.5)*,89.6 (0.4),89.1 (0.6)*,89.5 (0.4)*,89.0 (0.6)*,89.2 (0.5)*
ScandiNER,Recall,88.6 (0.3),87.6 (0.6)*,88.2 (0.5),87.6 (0.6)*,88.3 (0.4),87.4 (0.5)*,87.7 (0.4)*
ScandiNER,F1,89.2 (0.3),88.3 (0.5)*,88.9 (0.5),88.4 (0.6)*,88.9 (0.4)*,88.2 (0.6)*,88.5 (0.4)*
DaCy large (0.1.0),Precision,87.9 (0.6),87.7 (0.4),87.8 (0.5),87.6 (0.5),87.8 (0.3),87.4 (0.6),87.5 (0.5)
DaCy large (0.1.0),Recall,85.4 (0.4),84.9 (0.5)*,85.4 (0.4),84.8 (0.5)*,85.4 (0.3),84.6 (0.5)*,84.8 (0.4)*
DaCy large (0.1.0),F1,86.6 (0.4),86.3 (0.4),86.6 (0.4),86.2 (0.5)*,86.6 (0.3),86.0 (0.5)*,86.1 (0.4)*
DaCy medium (0.1.0),Precision,79.5 (0.7),76.9 (1.0)*,79.3 (0.7),76.6 (1.0)*,79.6 (0.7),76.4 (1.2)*,77.9 (0.7)*
DaCy medium (0.1.0),Recall,80.3 (0.6),76.1 (0.8)*,80.0 (0.7),76.1 (0.9)*,80.3 (0.6),75.9 (1.4)*,77.9 (1.0)*
DaCy medium (0.1.0),F1,79.9 (0.6),76.5 (0.9)*,79.6 (0.7),76.4 (0.9)*,80.0 (0.6),76.1 (1.2)*,77.9 (0.8)*
DaCy small (0.1.0),Precision,78.9 (0.8),76.0 (1.0)*,78.8 (0.9),76.2 (1.3)*,79.0 (0.8),75.6 (0.9)*,77.6 (1.1)*
DaCy small (0.1.0),Recall,76.2 (0.7),73.4 (1.0)*,76.4 (0.7),73.7 (1.2)*,76.5 (0.8),73.1 (0.8)*,74.7 (1.1)*
DaCy small (0.1.0),F1,77.5 (0.7),74.7 (1.0)*,77.6 (0.8),74.9 (1.2)*,77.8 (0.8),74.4 (0.8)*,76.1 (1.1)*
DaNLP BERT,Precision,84.9 (0.7),82.2 (0.8)*,85.3 (0.6),82.4 (0.7)*,84.9 (0.7),82.1 (0.8)*,83.8 (0.8)*
DaNLP BERT,Recall,78.9 (0.6),75.8 (0.9)*,79.2 (0.5),76.0 (0.9)*,78.8 (0.8),75.9 (0.8)*,77.4 (0.7)*
DaNLP BERT,F1,81.8 (0.6),78.9 (0.8)*,82.1 (0.5),79.1 (0.8)*,81.8 (0.7),78.9 (0.8)*,80.5 (0.7)*
Flair,Precision,88.6 (0.6),87.1 (0.8)*,88.7 (0.5),86.9 (0.6)*,88.4 (0.5),86.8 (0.7)*,87.1 (0.7)*
Flair,Recall,76.1 (0.4),73.7 (0.8)*,76.4 (0.6),73.7 (0.5)*,75.9 (0.5),73.5 (0.8)*,73.7 (1.1)*
Flair,F1,81.9 (0.5),79.8 (0.8)*,82.1 (0.6),79.7 (0.5)*,81.7 (0.4),79.6 (0.7)*,79.8 (0.9)*
SpaCy large (3.4.0),Precision,82.9 (0.7),74.4 (1.0)*,83.2 (0.5),75.5 (1.6)*,82.6 (0.5),71.4 (1.5)*,80.4 (1.1)*
SpaCy large (3.4.0),Recall,75.6 (0.6),65.1 (1.0)*,75.8 (0.7),66.5 (1.6)*,75.0 (0.6)*,62.4 (1.5)*,71.9 (1.1)*
SpaCy large (3.4.0),F1,79.1 (0.6),69.4 (1.0)*,79.3 (0.6),70.7 (1.6)*,78.6 (0.5),66.6 (1.4)*,75.9 (1.1)*
SpaCy medium (3.4.0),Precision,81.1 (0.6),68.1 (1.4)*,81.5 (0.4),70.6 (1.3)*,81.1 (0.6),64.2 (1.4)*,75.5 (1.1)*
SpaCy medium (3.4.0),Recall,75.5 (0.7),61.7 (1.3)*,76.1 (0.6),63.7 (1.4)*,75.4 (0.6),57.7 (1.4)*,68.8 (1.4)*
SpaCy medium (3.4.0),F1,78.2 (0.6),64.8 (1.3)*,78.7 (0.5)*,66.9 (1.3)*,78.2 (0.6),60.8 (1.4)*,72.0 (1.2)*
SpaCy small (3.4.0),Precision,68.8 (0.9),60.9 (1.6)*,69.2 (0.8),61.9 (1.7)*,69.2 (1.1),60.9 (1.4)*,66.1 (1.5)*
SpaCy small (3.4.0),Recall,61.4 (1.0),52.5 (1.6)*,62.1 (1.3),53.1 (1.6)*,62.2 (1.3),52.8 (1.3)*,58.0 (1.9)*
SpaCy small (3.4.0),F1,64.9 (1.0),56.4 (1.6)*,65.4 (1.0),57.1 (1.6)*,65.5 (1.2),56.6 (1.3)*,61.7 (1.7)*
Polyglot,Precision,70.3 (1.2),51.7 (1.5)*,71.3 (0.9)*,51.9 (1.5)*,68.3 (1.1)*,49.7 (1.7)*,63.4 (1.4)*
Polyglot,Recall,59.6 (1.0),33.9 (1.3)*,60.8 (0.9)*,34.5 (1.2)*,57.5 (1.0)*,31.8 (0.9)*,50.9 (1.2)*
Polyglot,F1,64.5 (1.0),40.9 (1.3)*,65.6 (0.9)*,41.4 (1.3)*,62.4 (1.0)*,38.8 (1.1)*,56.5 (1.2)*
